14559,4.32,CJ,2/28/2025
12663,4.97,CV,3/6/2025
10340,5.31,CV,4/11/2025
12675,7.32,CV,4/20/2025
12402,2.9,CV,4/20/2025
12664,3.2,CV,4/20/2025
12725,5.8,CV,4/20/2025
11977,4.8,CV,4/20/2025
14879,6.1,CV,4/20/2025
19845,5.1,CV,4/20/2025
12652,6.3,CV,4/20/2025
10839,2.4,CV,4/20/2025
12660,4.4,CV,4/20/2025
15323,6.4,CV,4/20/2025
12656,1.9,CV,4/20/2025
16022,2.1,CV,4/20/2025
12935,4.1,CV,4/21/2025
19063,3.3,CV,4/21/2025
18084,3.2,CV,4/21/2025
10227,3.3,CV,4/21/2025
10351,4.2,CV,4/21/2025
10254,5.1,CV,4/21/2025
10293,4.2,CV,4/24/2025
10243,6.1,CV,4/24/2025
10391,6.4,CV,4/24/2025
10376,5.5,CV,4/24/2025
10370,6.2,CV,4/24/2025
18037,4.0,CV,4/24/2025
13605,5.8,CV,4/24/2025
72366,3.9,CV,4/24/2025
10356,5.0,CV,4/24/2025
10249,5.0,CV,4/24/2025
19072,5.0,CV,4/24/2025
18057,5.0,CV,4/24/2025
18051,5.0,CV,4/24/2025
19071,5.0,CV,4/24/2025
19073,5.0,CV,4/24/2025
10769,5.0,CV,4/24/2025
10231,5.0,CV,4/24/2025
10369,5.0,CV,4/24/2025
19066,5.0,CV,4/24/2025
15845,5.0,CV,4/24/2025
14170,5.0,CV,4/24/2025
19568,5.0,CV,4/24/2025
10455,5.0,CV,4/24/2025
12671,5.0,CV,4/24/2025
10514,5.0,CV,4/24/2025
15873,5.0,CV,4/24/2025
16456,5.0,CV,4/24/2025
10410,5.0,CV,4/24/2025
10428,5.0,CV,4/24/2025
10329,5.0,CV,4/24/2025
10328,5.0,CV,4/24/2025
18036,5.0,CV,4/24/2025
18072,5.0,CV,4/24/2025
10384,5.0,CV,4/24/2025
10339,5.0,CV,4/24/2025
10306,5.0,CV,4/24/2025
10338,4.0,CV,4/24/2025
10314,5.0,CV,4/24/2025
19970,5.0,CV,4/24/2025
10331,5.0,CV,4/24/2025
10333,5.0,CV,4/24/2025
19192,5.0,CV,4/24/2025
19198,5.0,CV,4/24/2025
10865,5.0,CV,4/24/2025
12663,3.000000,CV,4/24/2025
14559,7.31,CV,5/14/2025
12663,5.15,CV,5/14/2025
19066,7.06,CV,5/15/2025
